,Definition,Denominator,DenominatorUnweightedId,DenominatorWeightedId,IndicatorId,IndicatorOldId,IndicatorOrder,IndicatorSpecial1Id,IndicatorSpecial2Id,IndicatorTotalId,IndicatorType,IsQuickStat,Label,Level1,Level2,Level3,MeasurementType,NumberScale,QuickStatOrder,SDRID,ShortName,TagIds
2662,Number of women,Women interviewed,FG_PFCC_W_UNW,,FG_PFCC_W_NUM,,187503020,,,,D,0,Number of women,Female Genital Cutting,Prevalence of female circumcision,Women,Number,0,,FGPFCCWNUM,Number of women,
2663,Number of women (unweighted),Women interviewed,,FG_PFCC_W_NUM,FG_PFCC_W_UNW,,187503030,,,,U,0,Number of women (unweighted),Female Genital Cutting,Prevalence of female circumcision,Women,Number,0,,FGPFCCWUNW,Number of women (unweighted),
2664,Percentage of circumcised women who were cut but no flesh was removed,Women circumcised,FG_PFCT_W_UNW,FG_PFCT_W_NUM,FG_PFCT_W_CNF,,187533010,FG_PFCT_W_DKM,,FG_PFCT_W_TOT,I,0,Circumcised women who were cut but no flesh was removed,Female Genital Cutting,Type of female circumcision,Women,Percent,1,,FGPFCTWCNF,"Cut, no flesh removed",
2665,Percentage of circumcised women who were cut and had flesh removed,Women circumcised,FG_PFCT_W_UNW,FG_PFCT_W_NUM,FG_PFCT_W_CFR,,187533020,FG_PFCT_W_DKM,,FG_PFCT_W_TOT,I,0,Circumcised women who were cut and had flesh removed,Female Genital Cutting,Type of female circumcision,Women,Percent,1,,FGPFCTWCFR,"Cut, flesh removed ",
2666,Percentage of circumcised women who were sewn closed,Women circumcised,FG_PFCT_W_UNW,FG_PFCT_W_NUM,FG_PFCT_W_SWN,,187533030,FG_PFCT_W_DKM,,FG_PFCT_W_TOT,I,0,Circumcised women who were sewn closed,Female Genital Cutting,Type of female circumcision,Women,Percent,1,,FGPFCTWSWN,Sewn closed,
2667,Percentage of circumcised women with unknown or missing information on type of circumcision,Women circumcised,FG_PFCT_W_UNW,FG_PFCT_W_NUM,FG_PFCT_W_DKM,,187533040,,,,S,0,Circumcised women with unknown or missing information on type of circumcision,Female Genital Cutting,Type of female circumcision,Women,Percent,1,,FGPFCTWDKM,Don't know or missing,
2668,Percentage of circumcised women: total,Women circumcised,FG_PFCT_W_UNW,FG_PFCT_W_NUM,FG_PFCT_W_TOT,,187533050,,,,T,0,Circumcised women: total,Female Genital Cutting,Type of female circumcision,Women,Percent,1,,FGPFCTWTOT,Total,
2669,Number of circumcised women,Women circumcised,FG_PFCT_W_UNW,,FG_PFCT_W_NUM,,187533060,,,,D,0,Number of circumcised women,Female Genital Cutting,Type of female circumcision,Women,Number,0,,FGPFCTWNUM,Number of circumcised women,
2670,Number of circumcised women (unweighted),Women circumcised,,FG_PFCT_W_NUM,FG_PFCT_W_UNW,,187533070,,,,U,0,Number of circumcised women (unweighted),Female Genital Cutting,Type of female circumcision,Women,Number,0,,FGPFCTWUNW,Number of circumcised women (unweighted),
2671,Percentage of women circumcised before age 5,Women circumcised,FG_AFCC_W_UNW,FG_AFCC_W_NUM,FG_AFCC_W_A00,,187563010,FG_AFCC_W_DKM,,FG_AFCC_W_TOT,I,0,Women circumcised before age 5,Female Genital Cutting,Age at circumcision,Women,Percent,1,,FGAFCCWA00,<5,
2672,Percentage of women circumcised at age 5-9,Women circumcised,FG_AFCC_W_UNW,FG_AFCC_W_NUM,FG_AFCC_W_A05,,187563020,FG_AFCC_W_DKM,,FG_AFCC_W_TOT,I,0,Women circumcised at age 5-9,Female Genital Cutting,Age at circumcision,Women,Percent,1,,FGAFCCWA05,5-9,
2673,Percentage of women circumcised at age 10-14,Women circumcised,FG_AFCC_W_UNW,FG_AFCC_W_NUM,FG_AFCC_W_A10,,187563030,FG_AFCC_W_DKM,,FG_AFCC_W_TOT,I,0,Women circumcised at age 10-14,Female Genital Cutting,Age at circumcision,Women,Percent,1,,FGAFCCWA10,10-14,
2674,Percentage of women circumcised at age 15+,Women circumcised,FG_AFCC_W_UNW,FG_AFCC_W_NUM,FG_AFCC_W_A15,,187563040,FG_AFCC_W_DKM,,FG_AFCC_W_TOT,I,0,Women circumcised at age 15+,Female Genital Cutting,Age at circumcision,Women,Percent,1,,FGAFCCWA15,15+,
2675,Percentage of circumcised women with age at circumcision unknown or missing,Women circumcised,FG_AFCC_W_UNW,FG_AFCC_W_NUM,FG_AFCC_W_DKM,,187563050,,,,S,0,Circumcised women with age at circumcision unknown or missing,Female Genital Cutting,Age at circumcision,Women,Percent,1,,FGAFCCWDKM,Don't know or missing,
2676,Percentage of circumcised women: total,Women circumcised,FG_AFCC_W_UNW,FG_AFCC_W_NUM,FG_AFCC_W_TOT,,187563060,,,,T,0,Circumcised women: total,Female Genital Cutting,Age at circumcision,Women,Percent,1,,FGAFCCWTOT,Total,
2677,Number of circumcised women,Women circumcised,FG_AFCC_W_UNW,,FG_AFCC_W_NUM,,187563070,,,,D,0,Number of circumcised women,Female Genital Cutting,Age at circumcision,Women,Number,0,,FGAFCCWNUM,Number of circumcised women,
2678,Number of circumcised women (unweighted),Women circumcised,,FG_AFCC_W_NUM,FG_AFCC_W_UNW,,187563080,,,,U,0,Number of circumcised women (unweighted),Female Genital Cutting,Age at circumcision,Women,Number,0,,FGAFCCWUNW,Number of circumcised women (unweighted),
2679,Percentage of girls circumcised before age 1,Girls age 0-14,FG_ACCG_C_UNW,FG_ACCG_C_NUM,FG_ACCG_C_A00,,187606010,FG_ACCG_C_DKM,,FG_ACCG_C_TOT,I,0,Girls circumcised before age 1,Female Genital Cutting,Age at circumcision of girls 0-14,Children,Percent,1,,FGACCGCA00,<1,
2680,Percentage of girls circumcised at age 1-4,Girls age 0-14,FG_ACCG_C_UNW,FG_ACCG_C_NUM,FG_ACCG_C_A01,,187606020,FG_ACCG_C_DKM,,FG_ACCG_C_TOT,I,0,Girls circumcised at age 1-4,Female Genital Cutting,Age at circumcision of girls 0-14,Children,Percent,1,,FGACCGCA01,1-4,
2681,Percentage of girls circumcised at age 5-9,Girls age 0-14,FG_ACCG_C_UNW,FG_ACCG_C_NUM,FG_ACCG_C_A05,,187606030,FG_ACCG_C_DKM,,FG_ACCG_C_TOT,I,0,Girls circumcised at age 5-9,Female Genital Cutting,Age at circumcision of girls 0-14,Children,Percent,1,,FGACCGCA05,5-9,
2682,Percentage of girls circumcised at age 10-14,Girls age 0-14,FG_ACCG_C_UNW,FG_ACCG_C_NUM,FG_ACCG_C_A10,,187606040,FG_ACCG_C_DKM,,FG_ACCG_C_TOT,I,0,Girls circumcised at age 10-14,Female Genital Cutting,Age at circumcision of girls 0-14,Children,Percent,1,,FGACCGCA10,10-14,
2683,"Percentage of girls cicumcised, but age at circumcision is unknown or missing",Girls age 0-14,FG_ACCG_C_UNW,FG_ACCG_C_NUM,FG_ACCG_C_DKM,,187606045,,,,S,0,"Girls cicumcised, but age unknown/missing",Female Genital Cutting,Age at circumcision of girls 0-14,Children,Percent,1,,FGACCGCDKM,Don't know or missing,
2684,Percentage of girls not circumcised,Girls age 0-14,FG_ACCG_C_UNW,FG_ACCG_C_NUM,FG_ACCG_C_NON,,187606050,FG_ACCG_C_DKM,,FG_ACCG_C_TOT,I,0,Girls not circumcised,Female Genital Cutting,Age at circumcision of girls 0-14,Children,Percent,1,,FGACCGCNON,Not circumcised,
2685,Percentage of girls: total,Girls age 0-14,FG_ACCG_C_UNW,FG_ACCG_C_NUM,FG_ACCG_C_TOT,,187606060,,,,T,0,Girls: total,Female Genital Cutting,Age at circumcision of girls 0-14,Children,Percent,1,,FGACCGCTOT,Total,
2686,Number of girls age 0-14,Girls age 0-14,FG_ACCG_C_UNW,,FG_ACCG_C_NUM,,187606070,,,,D,0,Number of girls age 0-14,Female Genital Cutting,Age at circumcision of girls 0-14,Children,Number,0,,FGACCGCNUM,Number of girls age 0-14,
2687,Number of girls age 0-14 (unweighted),Girls age 0-14,,FG_ACCG_C_NUM,FG_ACCG_C_UNW,,187606080,,,,U,0,Number of girls age 0-14 (unweighted),Female Genital Cutting,Age at circumcision of girls 0-14,Children,Number,0,,FGACCGCUNW,Number of girls age 0-14 (unweighted),
2688,Percentage of girls age 0-4 circumcised,Girls age 0-14,FG_INFB_C_UNW,FG_INFB_C_NUM,FG_PFCG_C_GC1,,187636010,,,,I,0,Girls age 0-4 circumcised,Female Genital Cutting,Prevalence of circumcision of girls,Children,Percent,1,,FGPFCGCGC1,Prevalence of circumcision of girls age 0-4,
2689,Number of girls age 0-4,Girls age 0-14,FG_INFB_C_UNW,FG_INFB_C_NUM,FG_PFCG_C_NM1,,187636020,,,,D,0,Number of girls age 0-4,Female Genital Cutting,Prevalence of circumcision of girls,Children,Number,0,,FGPFCGCNM1,Number of girls age 0-4,
2690,Number of girls age 0-4 (unweighted),Girls age 0-14,FG_INFB_C_UNW,FG_INFB_C_NUM,FG_PFCG_C_UN1,,187636030,,,,U,0,Number of girls age 0-4 (unweighted),Female Genital Cutting,Prevalence of circumcision of girls,Children,Number,0,,FGPFCGCUN1,Number of girls age 0-4 (unweighted),
2691,Percentage of girls age 5-9 circumcised,Girls age 0-14,FG_INFB_C_UNW,FG_INFB_C_NUM,FG_PFCG_C_GC2,,187636040,,,,I,0,Girls age 5-9 circumcised,Female Genital Cutting,Prevalence of circumcision of girls,Children,Percent,1,,FGPFCGCGC2,Prevalence of circumcision of girls age 5-9,
2692,Number of girls age 5-9,Girls age 0-14,FG_INFB_C_UNW,FG_INFB_C_NUM,FG_PFCG_C_NM2,,187636050,,,,D,0,Number of girls age 5-9,Female Genital Cutting,Prevalence of circumcision of girls,Children,Number,0,,FGPFCGCNM2,Number of girls age 5-9,
2693,Number of girls age 5-9 (unweighted),Girls age 0-14,FG_INFB_C_UNW,FG_INFB_C_NUM,FG_PFCG_C_UN2,,187636060,,,,U,0,Number of girls age 5-9 (unweighted),Female Genital Cutting,Prevalence of circumcision of girls,Children,Number,0,,FGPFCGCUN2,Number of girls age 5-9 (unweighted),
2694,Percentage of girls age 10-14 circumcised,Girls age 0-14,FG_INFB_C_UNW,FG_INFB_C_NUM,FG_PFCG_C_GC3,,187636070,,,,I,0,Girls age 10-14 circumcised,Female Genital Cutting,Prevalence of circumcision of girls,Children,Percent,1,,FGPFCGCGC3,Prevalence of circumcision of girls age 10-14,
2695,Number of girls age 10-14,Girls age 0-14,FG_INFB_C_UNW,FG_INFB_C_NUM,FG_PFCG_C_NM3,,187636080,,,,D,0,Number of girls age 10-14,Female Genital Cutting,Prevalence of circumcision of girls,Children,Number,0,,FGPFCGCNM3,Number of girls age 10-14,
2696,Number of girls age 10-14 (unweighted),Girls age 0-14,FG_INFB_C_UNW,FG_INFB_C_NUM,FG_PFCG_C_UN3,,187636090,,,,U,0,Number of girls age 10-14 (unweighted),Female Genital Cutting,Prevalence of circumcision of girls,Children,Number,0,,FGPFCGCUN3,Number of girls age 10-14 (unweighted),
2697,Percentage of girls age 0-14 circumcised,Girls age 0-14,FG_INFB_C_UNW,FG_INFB_C_NUM,FG_PFCG_C_GC4,,187636100,,,,I,0,Girls age 0-14 circumcised,Female Genital Cutting,Prevalence of circumcision of girls,Children,Percent,1,,FGPFCGCGC4,Prevalence of circumcision of girls age 0-14,77
2698,Number of girls age 0-14,Girls age 0-14,FG_INFB_C_UNW,FG_INFB_C_NUM,FG_PFCG_C_NM4,,187636110,,,,D,0,Number of girls age 0-14,Female Genital Cutting,Prevalence of circumcision of girls,Children,Number,0,,FGPFCGCNM4,Number of girls age 0-14,
2699,Number of girls age 0-14 (unweighted),Girls age 0-14,FG_INFB_C_UNW,FG_INFB_C_NUM,FG_PFCG_C_UN4,,187636120,,,,U,0,Number of girls age 0-14 (unweighted),Female Genital Cutting,Prevalence of circumcision of girls,Children,Number,0,,FGPFCGCUN4,Number of girls age 0-14 (unweighted),
2700,Percentage of circumcised girls age 0-14 infibulated,Girls age 0-14 circumcised,FG_INFB_C_UNW,FG_INFB_C_NUM,FG_INFB_C_SWN,,187666010,FG_INFB_C_DKM,,FG_INFB_C_TOT,I,0,Circumcised girls age 0-14 infibulated,Female Genital Cutting,Infibulation among circumcised girls,Children,Percent,1,,FGINFBCSWN,Sewn closed,
2701,Percentage of circumcised girls age 0-14 not infibulated,Girls age 0-14 circumcised,FG_INFB_C_UNW,FG_INFB_C_NUM,FG_INFB_C_NSW,,187666020,FG_INFB_C_DKM,,FG_INFB_C_TOT,I,0,Circumcised girls age 0-14 not infibulated,Female Genital Cutting,Infibulation among circumcised girls,Children,Percent,1,,FGINFBCNSW,Not sewn closed,
2702,Percentage of circumcised girls age 0-14 with unknown or missing information on infibulation,Girls age 0-14 circumcised,FG_INFB_C_UNW,FG_INFB_C_NUM,FG_INFB_C_DKM,,187666030,,,,S,0,Circumcised girls age 0-14 with unknown or missing information on infibulation,Female Genital Cutting,Infibulation among circumcised girls,Children,Percent,1,,FGINFBCDKM,Don't know or missing,
2703,Percentage of circumcised girls age 0-14: total,Girls age 0-14 circumcised,FG_INFB_C_UNW,FG_INFB_C_NUM,FG_INFB_C_TOT,,187666040,,,,T,0,Circumcised girls age 0-14: total,Female Genital Cutting,Infibulation among circumcised girls,Children,Percent,1,,FGINFBCTOT,Total,
2704,Number of girls age 0-14,Girls age 0-14 circumcised,FG_INFB_C_UNW,,FG_INFB_C_NUM,,187666050,,,,D,0,Number of girls age 0-14,Female Genital Cutting,Infibulation among circumcised girls,Children,Number,0,,FGINFBCNUM,Number of girls age 0-14,
2705,Number of girls age 0-14 (unweighted),Girls age 0-14 circumcised,,FG_INFB_C_NUM,FG_INFB_C_UNW,,187666060,,,,U,0,Number of girls age 0-14 (unweighted),Female Genital Cutting,Infibulation among circumcised girls,Children,Number,0,,FGINFBCUNW,Number of girls age 0-14 (unweighted),
2706,Percentage of girls age 0-14 circumcised by a traditional agent,Girls age 0-14 circumcised,FG_PPCG_C_UNW,FG_PPCG_C_NUM,FG_PPCG_C_TRD,,187706010,FG_PPCG_C_DKM,,FG_PPCG_C_TOT,I,0,Girls age 0-14 circumcised by a traditional agent,Female Genital Cutting,Person who performed the circumcision of girls,Children,Percent,1,,FGPPCGCTRD,Traditional agent,
2707,Number of girls age 0-14 circumcised,Girls age 0-14 circumcised,FG_PPCG_C_UNW,,FG_PPCG_C_NUM,,187706010,,,,D,0,Number of girls age 0-14 circumcised,Female Genital Cutting,Person who performed the circumcision of girls,Children,Number,0,,FGPPCGCNUM,Number of girls age 0-14 circumcised,
2708,Percentage of girls age 0-14 circumcised by a traditional circumciser,Girls age 0-14 circumcised,FG_PPCG_C_UNW,FG_PPCG_C_NUM,FG_PPCG_C_TCC,,187706020,FG_PPCG_C_DKM,,FG_PPCG_C_TOT,I,0,Girls age 0-14 circumcised by a traditional circumciser,Female Genital Cutting,Person who performed the circumcision of girls,Children,Percent,1,,FGPPCGCTCC,Traditional circumciser,
2709,Number of girls age 0-14 circumcised (unweighted),Girls age 0-14 circumcised,,FG_PPCG_C_NUM,FG_PPCG_C_UNW,,187706020,,,,U,0,Number of girls age 0-14 circumcised (unweighted),Female Genital Cutting,Person who performed the circumcision of girls,Children,Number,0,,FGPPCGCUNW,Number of girls age 0-14 circumcised (unweighted),
2710,Percentage of girls age 0-14 circumcised by a traditional birth attendant,Girls age 0-14 circumcised,FG_PPCG_C_UNW,FG_PPCG_C_NUM,FG_PPCG_C_TBA,,187706030,FG_PPCG_C_DKM,,FG_PPCG_C_TOT,I,0,Girls age 0-14 circumcised by a traditional birth attendant,Female Genital Cutting,Person who performed the circumcision of girls,Children,Percent,1,,FGPPCGCTBA,Traditional birth attendant,
2711,Percentage of girls age 0-14 circumcised by other traditional agent,Girls age 0-14 circumcised,FG_PPCG_C_UNW,FG_PPCG_C_NUM,FG_PPCG_C_OTR,,187706040,FG_PPCG_C_DKM,,FG_PPCG_C_TOT,I,0,Girls age 0-14 circumcised by other traditional agent,Female Genital Cutting,Person who performed the circumcision of girls,Children,Percent,1,,FGPPCGCOTR,Other traditional agent,
